Transaction_ID,Date,Year,Month_Num,Month_Name,Quarter,Product_ID,Product_Name,Category,Customer_ID,Customer_Name,Region,Segment,Salesperson_ID,Salesperson_Name,Units_Sold,Unit_Price,Gross_Revenue,Discount,Net_Revenue,COGS,Gross_Profit,GP_Margin_Pct
TXN-1000,2022-01-01,2022,1,January,Q1,P001,Laptop Pro 15,Electronics,C012,Mu Technologies,South,Enterprise,S02,Sara Khan,8,1146.86,9174.88,0.0,9174.88,4770.94,4403.94,48.0
TXN-1001,2022-01-01,2022,1,January,Q1,P009,Webcam HD,Electronics,C002,Beta Industries,South,SMB,S02,Sara Khan,2,73.06,146.12,0.0,146.12,64.29,81.83,56.0
TXN-1002,2022-01-02,2022,1,January,Q1,P009,Webcam HD,Electronics,C010,Kappa Inc,Central,Enterprise,S05,Usman Tariq,18,75.19,1353.42,135.34,1218.08,595.5,622.58,51.11
TXN-1003,2022-01-02,2022,1,January,Q1,P007,ERP License,Software,C004,Delta Systems,West,Enterprise,S04,Fatima Noor,19,1736.12,32986.28,0.0,32986.28,5937.53,27048.75,82.0
TXN-1004,2022-01-02,2022,1,January,Q1,P003,Office Chair,Furniture,C012,Mu Technologies,South,Enterprise,S02,Sara Khan,11,337.56,3713.16,0.0,3713.16,2042.24,1670.92,45.0
TXN-1005,2022-01-03,2022,1,January,Q1,P002,Wireless Mouse,Electronics,C002,Beta Industries,South,SMB,S02,Sara Khan,4,34.21,136.84,0.0,136.84,54.74,82.1,60.0
TXN-1006,2022-01-03,2022,1,January,Q1,P010,Headset Pro,Electronics,C005,Epsilon Trading,Central,SMB,S05,Usman Tariq,15,149.86,2247.9,112.4,2135.5,1034.03,1101.47,51.58
TXN-1007,2022-01-03,2022,1,January,Q1,P002,Wireless Mouse,Electronics,C009,Iota Ltd,West,SMB,S04,Fatima Noor,20,37.16,743.2,0.0,743.2,297.28,445.92,60.0
TXN-1008,2022-01-03,2022,1,January,Q1,P010,Headset Pro,Electronics,C004,Delta Systems,West,Enterprise,S04,Fatima Noor,2,152.84,305.68,0.0,305.68,140.61,165.07,54.0
TXN-1009,2022-01-04,2022,1,January,Q1,P004,Standing Desk,Furniture,C002,Beta Industries,South,SMB,S02,Sara Khan,9,615.38,5538.42,0.0,5538.42,3212.28,2326.14,42.0
